method,file_path,runs,steps,mean_force_time_s,std_force_time_s,median_force_time_s,trimmed_mean_force_time_s,min_force_time_s,max_force_time_s,mean_step_time_s,std_step_time_s,mean_drift_time_s,mean_kick_time_s,speedup_vs_baseline,speedup_err,max_relative_energy_error,mean_cycles,mean_instructions,ipc,mean_l1_misses,mean_l2_misses,mean_vec_dp
Naive (No Unroll),./experiments/loop-unroll/profilings/test-no-unroll/n.txt,1,10,7.7734896,0.018726052932745835,7.772026,7.77078725,7.757275,7.824128,7.773928499999999,0.01871635060181335,0.00025825734,0.00014831843,1.0,0.0034067888927523144,0.0,32465737925.4,27500183419.7,0.8470524675240746,469325668.3,1184812.3,0.0
Naive (Auto Unroll),./experiments/loop-unroll/profilings/test-auto-unroll/n.txt,1,10,7.785378800000001,0.011306197847198664,7.7826070000000005,7.78422825,7.770233,7.803684,7.785740000000001,0.011316204770151484,0.000191845744,0.00013227108000000003,0.9984728809855725,0.002808548409797738,0.0,32464235358.8,27500183440.1,0.847091672918321,469413254.7,1183331.4,0.0
Naive (N Unroll),./experiments/loop-unroll/profilings/test-n-unroll/n.txt,1,10,7.5943179999999995,0.00035482615461651917,7.594169,7.5941805,7.593959,7.594951,7.594659699999999,0.00036447525293218725,0.00018149270100000002,0.00013157316,1.0235928492854791,0.002466261587270504,0.0,32502419870.6,24531458224.1,0.7547579017736424,469291482.2,1325363.1,0.0
Rsqrt (No Unroll),./experiments/loop-unroll/profilings/test-no-unroll/r.txt,1,10,4.1292156,0.004327362942948085,4.1273455000000006,4.1273930000000005,4.12448,4.137559,4.1296189000000005,0.004333109609737647,0.000219973243,0.00014963942999999998,1.8825584210231114,0.004945571393829354,0.0,17254956800.7,32500179755.1,1.8835271586296598,469258375.0,1942782.0,0.0
Rsqrt (Auto Unroll),./experiments/loop-unroll/profilings/test-auto-unroll/r.txt,1,10,4.1376954999999995,0.0021335478550996365,4.138717,4.13833125,4.134277,4.1403,4.138047800000001,0.002146256172967207,0.00018751360500000001,0.00013352716000000002,1.8787002571842228,0.004628236913777946,0.0,17267652494.1,32500179767.3,1.882142333962572,469324344.4,1043289.1,0.0
Rsqrt (N Unroll),./experiments/loop-unroll/profilings/test-n-unroll/r.txt,1,10,4.011286200000001,0.0007839504831302699,4.0111205000000005,4.0110455,4.010494,4.013269,4.011628,0.0008094542605977231,0.000181376467,0.00013363828000000002,1.9379045055423867,0.004683679293349489,0.0,17168270940.9,29531454630.6,1.7201181605450533,469246199.4,1244203.2,0.0
ThirdLaw (No Unroll),./experiments/loop-unroll/profilings/test-no-unroll/t.txt,1,10,4.4257194,0.012110895096564827,4.418545,4.41938675,4.413013,4.445721,4.426230800000001,0.012170488682053799,0.00030977707600000003,0.00016476333999999998,1.7564352588643555,0.006403508925774672,0.0,18486866910.3,17514095473.7,0.9473804057053055,3819935715.9,34007935.8,0.0
ThirdLaw (Auto Unroll),./experiments/loop-unroll/profilings/test-auto-unroll/t.txt,1,10,4.3251206,0.004603908191960386,4.324524,4.324668,4.318698,4.33368,4.3255063,0.004609362147846456,0.00022361611700000002,0.00013141195,1.797288519538623,0.004733450502740389,0.0,18040512406.2,17514307879.3,0.9708320631336858,3824524364.2,30568367.0,0.0
ThirdLaw (N Unroll),./experiments/loop-unroll/profilings/test-n-unroll/t.txt,1,10,4.393998900000001,0.003087458354375026,4.3934755,4.39344625,4.390809,4.402642,4.3943777,0.0031125929399778538,0.00021824874,0.00013076123000000002,1.7691150537156484,0.004439325224295847,0.0,18809920292.2,15953907724.8,0.8481645576890446,3878148462.8,42324882.4,0.0
Rsqrt+Third (No Unroll),./experiments/loop-unroll/profilings/test-no-unroll/rt.txt,1,10,3.1539916000000003,0.017583795859825058,3.146946,3.1469635,3.140337,3.194929,3.1545744000000004,0.017626298205806024,0.000351643659,0.0001940691,2.4646513326161044,0.014968524756917491,0.0,13195539548.7,20015756667.8,1.5168577680305548,3862133090.5,24710138.1,0.0
Rsqrt+Third (Auto Unroll),./experiments/loop-unroll/profilings/test-auto-unroll/rt.txt,1,10,3.3397371999999996,0.0016109013501763572,3.340289,3.3400017500000003,3.337267,3.342401,3.340126,0.0015995670039107937,0.000226674029,0.00013036318,2.327575235560451,0.005718336876715055,0.0,13927845219.4,20015756863.2,1.4371036257152106,3900075466.8,26010611.7,0.0
Rsqrt+Third (N Unroll),./experiments/loop-unroll/profilings/test-n-unroll/rt.txt,1,10,3.0915679000000003,0.0022232162490409975,3.091275,3.0912202499999997,3.089446,3.097394,3.0919461,0.0022500233976561466,0.00022153080799999997,0.00012871920999999999,2.514416584542749,0.006321266571585897,0.0,13238083883.1,20015756613.8,1.5119829116170287,3861477375.5,25188504.2,0.0
