method,file_path,runs,steps,mean_force_time_s,std_force_time_s,median_force_time_s,trimmed_mean_force_time_s,min_force_time_s,max_force_time_s,mean_step_time_s,std_step_time_s,mean_drift_time_s,mean_kick_time_s,speedup_vs_baseline,speedup_err,max_relative_energy_error,mean_cycles,mean_instructions,ipc,mean_l1_misses,mean_l2_misses,mean_vec_dp
Naive (Baseline),./experiments/loop-unroll/profilings/test-no-unroll/n.txt,1,10,7.7734896,0.018726052932745835,7.772026,7.77078725,7.757275,7.824128,7.773928499999999,0.01871635060181335,0.00025825734,0.00014831843,1.0,0.0034067888927523144,0.0,32465737925.4,27500183419.7,0.8470524675240746,469325668.3,1184812.3,0.0
MAU 2,./experiments/mau/profilings/m2.txt,1,10,7.656227599999999,0.00037690057044267834,7.656093,7.65610825,7.655766,7.656862,7.6565688,0.0003909411208865451,0.000180366356,0.00013060495,1.0153158978711658,0.0024463696130578557,4.354343e-08,32769557856.5,31258308315.3,0.9538825165777989,3753062121.1,7531879.8,0.0
MAU 4,./experiments/mau/profilings/m4.txt,1,10,7.845561600000001,0.0016545886618734536,7.8458885,7.845918999999999,7.842143,7.848415,7.8459154,0.0016675724392061252,0.000179967941,0.00014341836,0.9908136595345832,0.0023959631963321685,4.354343e-08,33588181342.0,37517308493.0,1.116979455094428,3755743785.9,10116544.5,0.0
MAU 8,./experiments/mau/profilings/m8.txt,1,10,10.476665,0.004151019754229309,10.475325,10.475465,10.47388,10.48882,10.477011999999998,0.00415101626111,0.000181135445,0.00013378636000000002,0.7419813079830271,0.0018114212322586018,4.354343e-08,44857321215.3,46000011140.5,1.0254738779365684,3766583511.1,33694296.8,0.0
MAU 16,./experiments/mau/profilings/m16.txt,1,10,11.655893999999998,0.00798755306711639,11.658405,11.65803,11.64414,11.6664,11.656255,0.007996429515727798,0.00018446268900000002,0.00014168917999999998,0.6669149187526929,0.0016703142365133818,4.354343e-08,48675729167.2,59019112332.5,1.2124957004705716,3776957347.3,35089744.1,0.0
Rsqrt-MAU 2,./experiments/mau/profilings/rm2.txt,1,10,4.9909645000000005,0.0014643092057348818,4.9908725,4.990853,4.988511,4.993746,4.9913249,0.001457278659007839,0.000188475291,0.00014189117999999999,1.5575125008402684,0.0037797154756234693,4.735181e-06,20834272999.7,36258905636.0,1.7403489738529443,3752932581.1,8417098.3,0.0
Rsqrt-MAU 4,./experiments/mau/profilings/rm4.txt,1,10,6.6199992000000005,0.00464705637581472,6.622094000000001,6.62122325,6.611777,6.626922,6.6203868,0.0046728762406038436,0.00020545795800000003,0.0001444214,1.1742432838964694,0.0029463611311062146,4.735181e-06,27655055773.0,43455307266.7,1.5713331993756452,3758906990.3,14138894.9,0.0
Rsqrt-MAU 8,./experiments/mau/profilings/rm8.txt,1,10,7.935497,0.019480939525597894,7.930287,7.9294555,7.916617,7.981666,7.9358811000000005,0.019480112383916205,0.00019132569,0.00015751840000000002,0.9795844671102516,0.0033692143362241576,4.735181e-06,33137485347.5,52097408598.9,1.5721593854384126,3768705743.2,25545461.8,0.0
Rsqrt-MAU 16,./experiments/mau/profilings/rm16.txt,1,10,8.4604836,0.006167842154270666,8.4623615,8.462541,8.447819,8.468019,8.460850399999998,0.0061718029164905056,0.000187004541,0.00014053333999999997,0.9187996771248396,0.0023124879290539494,4.735181e-06,35340801876.2,63648709111.1,1.8009978758847505,3786994489.9,39712626.3,0.0
Block-Rsqrt-MAU 2,./experiments/mau/profilings/brm2.txt,1,10,5.995596699999999,0.006991232839063578,5.9952305,5.995523749999999,5.983036,6.005219,5.995965,0.006994269039720882,0.000190734116,0.00014617824000000003,1.2965331040361674,0.0034699654101595736,4.735181e-06,25067447418.2,47611382962.8,1.8993311192998523,35396246.9,332407.1,0.0
Block-Rsqrt-MAU 4,./experiments/mau/profilings/brm4.txt,1,10,7.9368376,0.006576993541125058,7.9341725,7.93456475,7.929836,7.950262,7.937233999999999,0.006571997139378522,0.00020207856400000004,0.00015888058,0.9794190068850597,0.002495077155213871,4.735181e-06,33216971047.1,59179598756.0,1.7816073197067337,39270451.5,556549.9,0.0
Block-Rsqrt-MAU 8,./experiments/mau/profilings/brm8.txt,1,10,10.591765999999998,0.012085485674973771,10.58634,10.5862325,10.57897,10.61821,10.592134999999999,0.012073925832139436,0.00019373632399999997,0.00014203414,0.7339181775730319,0.001956280447654043,4.735181e-06,44374357483.3,83578011771.9,1.883475423916933,57681268.4,2093882.1,0.0
Block-Rsqrt-MAU 16,./experiments/mau/profilings/brm16.txt,1,10,13.856919999999999,0.0041269286400419216,13.857665,13.857505,13.84975,13.86437,13.857303000000002,0.004130142975733409,0.000191416863,0.00015722224,0.5609824982752301,0.0013616750543882657,4.735181e-06,58054281053.3,117442026191.9,2.022969263611683,95371505.5,4815458.0,0.0
