run,type,real_sec
1,native,0.00
2,native,0.00
3,native,0.00
4,native,0.00
5,native,0.00
6,native,0.00
7,native,0.00
8,native,0.00
9,native,0.00
10,native,0.00
11,native,0.00
12,native,0.00
13,native,0.00
14,native,0.00
15,native,0.00
1,container,INFO:    Mounting image with FUSE.
1.39
2,container,INFO:    Mounting image with FUSE.
0.19
3,container,INFO:    Mounting image with FUSE.
0.20
4,container,INFO:    Mounting image with FUSE.
0.20
5,container,INFO:    Mounting image with FUSE.
0.19
6,container,INFO:    Mounting image with FUSE.
0.18
7,container,INFO:    Mounting image with FUSE.
0.18
8,container,INFO:    Mounting image with FUSE.
0.19
9,container,INFO:    Mounting image with FUSE.
0.20
10,container,INFO:    Mounting image with FUSE.
0.19
11,container,INFO:    Mounting image with FUSE.
0.18
12,container,INFO:    Mounting image with FUSE.
0.17
13,container,INFO:    Mounting image with FUSE.
0.19
14,container,INFO:    Mounting image with FUSE.
0.21
15,container,INFO:    Mounting image with FUSE.
0.19
